county,county,fips_code,dem_2016,gop_2016,oth_2016,2016
GA,oglethorpe,13221,1829,4622,199,2016
AR,craighead,05031,10474,22798,1696,2016
KY,carroll,21041,1106,2588,157,2016
GA,terrell,13273,2267,1872,40,2016
PA,berks,42011,75169,93094,7671,2016
IN,brown,18013,2518,5015,375,2016
ND,richland,38077,2064,4759,637,2016
PA,bucks,42017,165861,163873,12838,2016
ID,boise,16015,777,2673,362,2016
NY,ulster,36111,40010,32962,4162,2016
MO,jackson,29095,163723,114777,15563,2016
UT,wayne,49055,271,959,180,2016
KS,rush,20165,227,1177,70,2016
OR,union,41061,3221,8378,866,2016
MO,sainte genevieve,29186,2540,5495,424,2016
MT,toole,30101,399,1495,124,2016
NC,rockingham,37157,14057,26463,854,2016
AR,stone,05137,1189,4081,257,2016
OH,ottawa,39123,8136,12389,1217,2016
MO,harrison,29081,574,2965,143,2016
MN,yellow medicine,27173,1524,3382,347,2016
AR,desha,05041,2227,1915,84,2016
MN,chippewa,27023,1978,3764,440,2016
TN,lake,47095,577,1357,36,2016
LA,catahoula parish,22025,1322,3479,55,2016
TX,bastrop,48021,10555,16314,1381,2016
OH,van wert,39161,2667,10328,589,2016
FL,taylor,12123,2149,6923,207,2016
GA,greene,13133,3194,5488,149,2016
WY,fremont,56013,4200,11167,1176,2016
NY,warren,36113,11366,14284,1918,2016
IA,dallas,19049,15662,19288,2667,2016
CO,san juan,08111,265,215,26,2016
WA,chelan,53007,8402,11556,1080,2016
VA,isle of wight,51093,7673,11971,837,2016
IN,monroe,18105,34183,20527,2913,2016
VA,grayson,51077,1407,5593,258,2016
TX,stephens,48429,348,3033,72,2016
CO,archuleta,08007,2489,4234,567,2016
CO,adams,08001,86471,73807,14847,2016
MI,alcona,26001,1732,4201,246,2016
NC,mecklenburg,37119,292258,154303,15273,2016
KY,menifee,21165,700,2010,69,2016
WV,randolph,54083,2724,7583,509,2016
TX,san saba,48411,293,2025,36,2016
WV,preston,54077,2462,9501,648,2016
AL,covington,01039,2379,13222,217,2016
HI,hawaii,15001,41258,17500,6107,2016
AR,howard,05061,1350,3155,129,2016
NM,hidalgo,35023,780,906,150,2016
MI,sanilac,26151,4873,13446,924,2016
SD,corson,46031,535,588,52,2016
PA,venango,42121,5889,15254,953,2016
OH,vinton,39163,1332,3799,262,2016
GA,rabun,13241,1443,6287,219,2016
TX,montague,48337,885,7526,193,2016
GA,towns,13281,1206,5377,143,2016
IA,buena vista,19021,2851,4895,433,2016
